GB	Caste
GB41462	NA
GB41463	NA
GB41464	NA
GB41465	NDEG
GB41466	NA
GB41467	NA
GB41469	NA
GB41470	NA
GB41472	NA
GB41475	NA
GB41476	NA
GB41478	NA
GB41479	NA
GB41480	NA
GB41481	NA
GB41484	NA
GB41485	NA
GB41486	NA
GB41487	NA
GB41488	NA
GB41489	NA
GB41490	NA
GB41491	NA
GB41492	NA
GB41493	NA
GB41494	NA
GB41495	NDEG
GB41497	NA
GB41499	NA
GB41502	NA
GB41503	NA
GB41505	NA
GB41506	NA
GB41507	NA
GB41508	NA
GB41510	NA
GB41513	NA
GB41514	NA
GB41516	NA
GB41517	NA
GB41519	NDEG
GB41520	NA
GB41521	NA
GB41522	NA
GB41523	NA
GB41524	NA
GB41525	NA
GB41527	NA
GB41540	NA
GB41541	NA
GB41542	NA
GB41543	NA
GB41544	NA
GB41545	NA
GB41546	NA
GB41547	NDEG
GB41549	NA
GB41550	NA
GB41552	NDEG
GB41553	NDEG
GB41556	NA
GB41557	NA
GB41558	NA
GB41559	NA
GB41560	NA
GB41562	NA
GB41563	NA
GB41564	NA
GB41565	NA
GB41567	NA
GB41568	NA
GB41569	NDEG
GB41575	NA
GB41576	NA
GB41580	NA
GB41581	NA
GB41584	NA
GB41589	NA
GB41590	NA
GB41591	NDEG
GB41592	NA
GB41598	NA
GB41599	NA
GB41600	NA
GB41601	NA
GB41602	NDEG
GB41603	Q
GB41604	NDEG
GB41606	NA
GB41607	NA
GB41608	NA
GB41609	NA
GB41610	NA
GB41611	NA
GB41613	NA
GB41615	NA
GB41616	NA
GB41617	NDEG
GB41618	NA
GB41619	NA
GB41620	NA
GB41621	NA
GB41622	NA
GB41623	NA
GB41624	NA
GB41625	NA
GB41626	NA
GB41627	NA
GB41628	NA
GB41629	NA
GB41630	NA
GB41631	NA
GB41632	NA
GB41633	NA
GB41634	NA
GB41635	NA
GB41636	NA
GB41637	NA
GB41638	NA
GB41639	NA
GB41640	NA
GB41641	NA
GB41642	NA
GB41643	NA
GB41645	NA
GB41646	NA
GB41647	NA
GB41648	NA
GB41649	NA
GB41650	NA
GB41651	NDEG
GB41652	NA
GB41653	NDEG
GB41654	NA
GB41656	NA
GB41657	NA
GB41658	NA
GB41659	NA
GB41660	NA
GB41661	NA
GB41662	NA
GB41663	NA
GB41664	NA
GB41665	NA
GB41667	NA
GB41668	NA
GB41669	NA
GB41670	NA
GB41671	NA
GB41672	NA
GB41673	NA
GB41674	NDEG
GB41676	NA
GB41677	NDEG
GB41679	NA
GB41680	NA
GB41681	NA
GB41684	NA
GB41686	NA
GB41688	NA
GB41689	NA
GB41690	NA
GB41691	NA
GB41692	NA
GB41693	NA
GB41694	NA
GB41695	NA
GB41697	NA
GB41698	NA
GB41699	NA
GB41700	NA
GB41701	NDEG
GB41703	NA
GB41704	NA
GB41706	NA
GB41707	NDEG
GB41708	NA
GB41710	NA
GB41711	NA
GB41712	NA
GB41713	NA
GB41714	NA
GB41715	NDEG
GB41716	NA
GB41718	NA
GB41719	NA
GB41720	NA
GB41721	NA
GB41722	NA
GB41723	NA
GB41724	NDEG
GB41726	NA
GB41727	NA
GB41730	NA
GB41731	NA
GB41732	NDEG
GB41733	NA
GB41734	NA
GB41735	NA
GB41736	NA
GB41737	NA
GB41738	NA
GB41739	NDEG
GB41740	NA
GB41741	NDEG
GB41742	NA
GB41743	NA
GB41744	NA
GB41745	NA
GB41746	NA
GB41747	NA
GB41748	NA
GB41749	NA
GB41750	NA
GB41751	NA
GB41753	NA
GB41754	NA
GB41755	NA
GB41756	NA
GB41757	NA
GB41758	NDEG
GB41759	NA
GB41760	NA
GB41761	NA
GB41763	NA
GB41765	NA
GB41766	NA
GB41768	NA
GB41769	NA
GB41770	NA
GB41771	NA
GB41772	NA
GB41773	NA
